"","ID","ocean.region","brood_year","release_year","Median.month.release","N.released","n_month","m.median","m.mean","m.sd","X2.5.","X5.","X10.","X25.","X50.","X75.","X90.","X95.","X97.5."
"120","Merced","SFB",2000,2001,4.5,881924,10.5,2.53210270018199,2.53210270018199,0.344416728552278,1.90599192843897,1.97404346897485,2.07063809122779,2.27860136851326,2.53210270018199,2.74971384466725,2.97087372176026,3.10653833040873,3.20661772864867
"121","Merced","SFB",2001,2002,4.5,839607,10.5,2.51855148148193,2.51855148148193,0.386493528192355,1.83592629940663,1.94588986930666,2.03337480749639,2.26137499248449,2.51855148148193,2.81150737443564,3.04786868042721,3.20155464142789,3.31766854045668
"122","Merced","SFB",2002,2003,4.5,923542,10.5,2.63249779536272,2.63249779536272,0.372027101985491,1.98861889328429,2.07842289171975,2.16498880729478,2.38207787933755,2.63249779536272,2.91844779067583,3.13526268408636,3.27169105041413,3.41423016083195
"123","Merced","SFB",2003,2004,4.5,556380,10.5,2.87642826808206,2.87642826808206,0.431264238532349,2.117509596364,2.25117710765875,2.37941429312125,2.61210350080803,2.87642826808206,3.19583450640323,3.47196517516376,3.63177963501229,3.76410219687083
"124","Merced","SFB",2004,2005,4.5,948873,10.5,3.2164927211435,3.2164927211435,0.467283388319299,2.47546398425395,2.58570972006449,2.72894260471736,2.90295250520267,3.2164927211435,3.55463272107498,3.89636661213417,4.07101916609508,4.23195070923248
"125","Mokelumne","SFB",1990,1991,4.5,214439,10.5,2.28601700178332,2.28601700178332,0.341372889877384,1.71447430087987,1.77029735592723,1.86612153817202,2.04299932105203,2.28601700178332,2.52017845204269,2.74050297742773,2.86938240096417,3.00542679577343
"126","Mokelumne","SFB",1991,1992,5,65973,10,2.45142259761193,2.45142259761193,0.378339887476718,1.80310140640297,1.8845220924032,1.99925305961036,2.19191158185661,2.45142259761193,2.70904771907899,2.94115032850488,3.06384893737816,3.23574557227795
"127","Mokelumne","SFB",1992,1993,5.5,17514,9.5,2.07136299097021,2.07136299097021,0.301182654652803,1.55595017014624,1.59690798655368,1.71507277437553,1.87110714356237,2.07136299097021,2.29636682436011,2.47736134313039,2.60884936811369,2.66337860008133
"128","Mokelumne","SFB",1993,1994,5,214368,10,2.24694787919051,2.24694787919051,0.339029644427275,1.65361600421006,1.7129046698888,1.8258960492924,2.01741140756,2.24694787919051,2.49857205942809,2.68049813213138,2.82452618399661,2.96820109229208
"129","Mokelumne","SFB",1994,1995,4.5,253663,10.5,2.28773256605452,2.28773256605452,0.363416571958579,1.60688026221444,1.75513901044231,1.89065450795728,2.08081589215994,2.28773256605452,2.50999082124877,2.74937258112266,2.88127575654143,3.13116137850953
"130","Mokelumne","SFB",1995,1996,5,111132,10,2.58761692265005,2.58761692265005,0.377982926553269,1.91866873963979,2.02671608954679,2.13980311601201,2.32171577680796,2.58761692265005,2.83470592668948,3.04177368385371,3.22032283535084,3.38287014165979
"131","Mokelumne","SFB",1996,1997,5,393928,10,2.56114713183014,2.56114713183014,0.398059153017464,1.8565578562994,1.92449132505397,2.09301639326478,2.33383359680222,2.56114713183014,2.84462424091253,3.08401194171358,3.27157841439069,3.43781456082988
"132","Mokelumne","SFB",1997,1998,4.5,456358,10.5,2.43981094096641,2.43981094096641,0.366215160737229,1.7933308404271,1.88300447738809,1.98825958173753,2.18215840864723,2.43981094096641,2.70089865652355,2.92062784584066,3.06452653980107,3.15656331706368
"133","Mokelumne","SFB",1998,1999,3.5,552172,11.5,2.37879378324546,2.37879378324546,0.391918863714217,1.70637181843601,1.79543697272529,1.90617627452678,2.14362181962438,2.37879378324546,2.64373260576998,2.94351419719709,3.10496840245919,3.2051714941437
"134","Mokelumne","SFB",1999,2000,3.5,464041,11.5,2.35390395598585,2.35390395598585,0.371125965738875,1.65790693262104,1.74838292723987,1.87847019251631,2.11279330354802,2.35390395598585,2.5967086978477,2.83464101991568,2.97607247619618,3.13487647771134
"135","Mokelumne","SFB",2000,2001,3,617834,12,2.26222387219789,2.26222387219789,0.320032124991214,1.72426217049189,1.82576191493426,1.90653748919068,2.03894271145877,2.26222387219789,2.49909897424065,2.70363108617986,2.84929007883391,2.96212649968946
"136","Mokelumne","SFB",2001,2002,3.5,416577,11.5,2.39235457726679,2.39235457726679,0.349730029650834,1.78454722917584,1.8644569892297,1.98112479079951,2.1691631705339,2.39235457726679,2.65922782050106,2.85809540816143,2.99406511800976,3.08012576889195
"137","Mokelumne","SFB",2002,2003,2.5,207871,12.5,2.17565752323248,2.17565752323248,0.335425818777624,1.55965901320829,1.66363234440854,1.80589225122275,1.97041507736218,2.17565752323248,2.39372172750499,2.6247123119738,2.75725581362507,2.88447654375576
