Fishery,Year,Vessel Name ,ADFG ,USCG ,AFA ,Inshore ,Co-op ,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,SOVEREIGNTY,55199,651752,2770,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,STAR FISH,00012,561651,1167,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,STARLITE,34931,597065,1998,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,STARWARD,39197,617807,417,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,STORM PETREL,39860,620769,1641,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,SUNSET BAY,35527,598484,251,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,TOPAZ,40250,575428,405,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,TRACY ANNE,54654,904859,2823,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,TRAVELER,58821,929356,3404,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,VANGUARD,39946,617802,519,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,VESTERAALEN,38342,611642,517,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,VIKING,00008,565017,1222,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,VIKING EXPLORER,36045,605228,1116,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,WALTER N,34919,257365,825,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,WESTERN DAWN,22294,524423,134,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,WESTWARD I,53247,615165,1650,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,AJ,57934,599164,3405,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,ALASKA ROSE,38989,610984,515,UNALASKA,105,,,,,,,,,,,,,,,,,,
